S.No,MET_SUBDIVISION_UT_STATE_DISTRICT_NAME,Winter_Actual,Winter_Percent_Departure,Pre_Monsoon_Actual,Pre_Monsoon_Percent_Departure,SW_Monsoon_Actual,SW_Monsoon_Percent_Departure,Post_Monsoon_Actual,Post_Monsoon_Percent_Departure,Annual_Actual,Annual_Percent_Departure
6,JHARGRAM,15.01,-51%,126.97,-20%,1651.8,40%,195.53,-24%,1389.18,-11%
7,KOLKATA,14.7,-54%,329.3,130%,1223.6,7%,226.4,-42%,2086.98,-19%
8,MURSHIDABAD,8.8,-64%,189,-7%,752.59,-37%,122.65,-22%,1083.14,-20%
9,NADIA,45.52,105%,227,-34%,583.59,-11%,158.75,-46%,1597.26,-59%
10,NORTH 24 PARGANAS,45.206,-33%,358.91,-57%,1172.8,2%,291.32,-37%,1986.17,-29%
11,PASCHIM BARDHAMAN,16.787,-52%,148.01,-11%,1428.7,-29%,245.01,-3%,1539.5,-29%
12,PURBA BARDHAMAN,25.467,108%,267,50%,1845.3,-8%,194.42,-39%,1906.21,-16%
13,PURULIA,28.618,-19%,128.93,-14%,1256,13%,118.08,-19%,1530.66,-5%
14,SOUTH 24 PARGANAS,31.433,-5%,374.43,-22%,1446.6,-8%,291.33,-20%,2137.84,-11%
15,SOUTH 24 PARGANAS,37.213,59%,207.63,-1%,1137.1,-3%,239.72,-24%,1665.56,-6%
7,ODISHA,25.509,2%,136.02,6%,1092,9%,119.4,-15%,1372.89,5%
1,ANGUL,39.311,-17%,145.21,-26%,1454.1,-7%,110.24,-1%,1548.48,-9%
2,BALASORE,23.176,-50%,236.4,-4%,958.15,-10%,213.83,-3%,1467.14,-10%
3,BARGARH,34.582,65%,53.618,59%,1119,-5%,5.1901,-88%,1252.65,6%
4,BHADRAK,16.325,-1%,177.28,-1%,738.95,-27%,355.4,-4%,1288.65,-18%
5,BOLANGIR,26.604,-7%,91.464,-39%,978.52,-11%,19.051,-72%,1109.54,-11%
6,BOUDHAGARH,2.15,-19%,115.33,66%,1796.2,15%,31.425,-63%,1506.07,-12%
7,CUTTACK,13.597,9%,142.45,31%,1261.3,10%,196.11,16%,1633.42,12%
8,DEOGARH,40.133,33%,163.27,93%,956.47,-22%,50,-49%,1175.67,-16%
9,DHENKANAL,41.288,71%,179.01,23%,1324.1,15%,64.185,-57%,1655.34,-11%
10,GAJAPATI,13.65,-61%,150.16,30%,843.02,-7%,191.05,-14%,1197.89,-13%
11,GANJAM,42.388,59%,125.94,13%,822.36,-7%,179.08,-20%,1169.63,10%
12,JAGATSINGHPUR,42.889,11%,225.11,13%,1094.7,2%,212.33,-36%,1169.46,-10%
13,JAJPUR,25.556,-41%,183.02,8%,1029.9,-18%,226.13,21%,1455.63,-12%
14,JHARSUGUDA,16.033,30%,93.4,30%,521.72,-50%,23.517,-70%,1046.47,-53%
15,KALAHANDI,23.508,39%,136.52,-30%,1168.9,25%,101.4,1%,1353.78,13%
